excel_row,allocation_seq,movement_class,source_category,allocation_amount,target_account_id,target_account_code,target_account_name,map_reason
160,2,receipt,6.01.001 - Simples Nacional,548.06,93,4.01.001,Simples Nacional,explicit_code_map
161,1,payment,5.01.012 - PJ - OPERACAO,2431.5,117,7.1.012,PJ - OPERACAO,explicit_code_map
162,1,transfer,Transferência de Entrada,1526.29,,,,
163,1,payment,5.02.008 - Estacionamento Operação,200.0,128,7.2.008,Estacionamento Operação,explicit_code_map
164,1,payment,4.01.004 - Insumos - Outros,7.99,103,6.1.004,Insumos - Outros,explicit_code_map
165,1,payment,5.02.008 - Estacionamento Operação,15.0,128,7.2.008,Estacionamento Operação,explicit_code_map
166,1,payment,5.02.008 - Estacionamento Operação,15.0,128,7.2.008,Estacionamento Operação,explicit_code_map
167,1,payment,5.02.008 - Estacionamento Operação,19.0,128,7.2.008,Estacionamento Operação,explicit_code_map
168,1,payment,4.01.004 - Insumos - Outros,10.7,103,6.1.004,Insumos - Outros,explicit_code_map
169,1,payment,4.01.004 - Insumos - Outros,8.0,103,6.1.004,Insumos - Outros,explicit_code_map
170,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,291.72,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
171,1,payment,5.02.008 - Estacionamento Operação,15.0,128,7.2.008,Estacionamento Operação,explicit_code_map
172,1,payment,5.02.008 - Estacionamento Operação,15.0,128,7.2.008,Estacionamento Operação,explicit_code_map
173,1,payment,4.01.004 - Insumos - Outros,12.99,103,6.1.004,Insumos - Outros,explicit_code_map
174,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,218.67,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
175,1,payment,5.02.008 - Estacionamento Operação,6.0,128,7.2.008,Estacionamento Operação,explicit_code_map
176,1,payment,5.02.008 - Estacionamento Operação,11.2,128,7.2.008,Estacionamento Operação,explicit_code_map
177,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,236.8,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
178,1,payment,5.02.008 - Estacionamento Operação,6.0,128,7.2.008,Estacionamento Operação,explicit_code_map
179,1,payment,5.02.008 - Estacionamento Operação,15.0,128,7.2.008,Estacionamento Operação,explicit_code_map
180,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,124.8,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
181,1,payment,4.01.004 - Insumos - Outros,69.48,103,6.1.004,Insumos - Outros,explicit_code_map
182,1,payment,4.01.004 - Insumos - Outros,13.14,103,6.1.004,Insumos - Outros,explicit_code_map
